Datum;Quelle (Domain);Titel;Kategorie;Grund;Link
2026-05-20;st-antonius-soest.de;Karneval im St. Antonius;Veranstaltung;Titel deutet auf eine lokale Veranstaltung (Karneval) hin, die für einen Branchen-Newsletter relevant ist.;https://www.st-antonius-soest.de/aktuelles/aktuelles/aktuelles/news/karneval-im-st-antonius/
2026-05-20;st-antonius-soest.de;Letztes Teamevent für 2024;Veranstaltung;Titel deutet auf ein konkretes Teamevent hin.;https://www.st-antonius-soest.de/aktuelles/aktuelles/aktuelles/news/letztes-teamevent-fuer-2024/
2026-05-20;st-antonius-soest.de;Sommerfest der Tagespflege;Veranstaltung;Titel deutet auf eine konkrete Veranstaltung hin, Text fehlt aber.;https://www.st-antonius-soest.de/aktuelles/aktuelles/aktuelles/news/sommerfest-der-tagespflege/
2026-05-19;boecker-stiftung.de;Sommerfest und Tag der offenen Tür;Veranstaltung;Einladung zu einem konkreten Sommerfest und Tag der offenen Tür.;https://www.boecker-stiftung.de/sommerfest-und-tag-der-offenen-tuer/
2026-05-19;awo-dortmund.de;Fachvortrag „Ultranationalismus – Radikalisierung einer Ideologie. Eine Einführung in die Bewegung der Grauen Wölfe“ am 20. Mai;Veranstaltung;Ankündigung eines Fachvortrags mit Kooperationspartnern;https://awo-dortmund.de/fachvortrag-ultranationalismus-radikalisierung-einer-ideologie-eine-einfuehrung-in-die-bewegung-der-grauen-woelfe-am-20-mai/
2026-05-19;kkimk.de;Stellvertretende Leitung ZNA St. Vincenz Krankenhaus Menden;Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://kkimk.de/blog/2026/05/19/stellvertretende-leitung-zna-st-vincenz-krankenhaus-menden/
2026-05-19;bethesda-borbeck.de;Ausflug zum Kumpelmarkt;Veranstaltung;Bericht über einen Ausflug und Besuch eines Marktes;https://www.bethesda-borbeck.de/index.php/de/aktuell/aktuelles/335-ausflug-zum-kumpelmarkt
2026-05-19;gesob-gmbh.de;Muttertag in Altenessen;Veranstaltung;Bericht über eine konkrete Aktion zum Muttertag;https://www.gesob-gmbh.de/2026/05/19/muttertag-in-altenessen-2/
2026-05-19;grafschafter-diakonie.de;Neun Mitarbeitende der Altenheimat Vluyn mit goldenem Kronenkreuz geehrt;Personalie;Auszeichnung von Mitarbeitern;https://www.grafschafter-diakonie.de/neun-mitarbeitende-der-altenheimat-vluyn-mit-goldenem-kronenkreuz-geehrt/
2026-05-19;wohnstiftsalzburg.de;Wohnbereichsleitung (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://wohnstiftsalzburg.de/wohnbereichsleitung-m-w-d/
2026-05-19;gse-essen.de;Cool Bleiben – Pflege Feiern;Veranstaltung;Bezug auf den Internationalen Tag der Pflege und Dankesaktion;https://www.gse-essen.de/aktuelles/cool-bleiben-pflege-feiern/
2026-05-19;bergische-diakonie.de;Tag der Offenen Tür in der Tagespflege Wülfrath;Veranstaltung;Einladung zu einer konkreten Veranstaltung (Tag der Offenen Tür);https://www.bergische-diakonie.de/ueber-uns/aktuelles/detailseite/tag-der-offenen-tuer-in-der-tagespflege-wuelfrath
2026-05-19;caritas-herten.de;„Zusammen geht was“ – eine moderne Arbeitswelt braucht kreative Wege: Die Caritas in Herten verbindet Generationen ...;Projekt;Beschreibung eines intergenerationellen Projekts zur modernen Arbeitswelt;https://www.caritas-herten.de/caritas-und-kirche/pressemitteilungen/zusammen-geht-was--eine-moderne-arbeitswelt-braucht-kreative-wege-die-caritas-in-herten-verbindet-ge
2026-05-19;insanto.de;Tag der offenen Tür in Remscheid;Veranstaltung;Ankündigung einer konkreten Veranstaltung (Tag der offenen Tür);https://www.insanto.de/news/tag-der-offenen-tuer-in-remscheid
2026-05-19;kkle.de;Ganzheitliche Beratung und BehandlungNeue Knie- und sportmedizinische Sprechstunde am St.-Antonius-Hospital in Kleve;neues Angebot;Eröffnung einer neuen Sprechstunde;https://www.kkle.de/news/neue-knie-sprechstunde-am-st-antonius-hospital-in-kleve
2026-05-19;klinikum-hochsauerland.de;Volkskrankheit Osteoporose – Wie man sie erkennt und was dagegen hilft;Gesundheit;Aufklärung über Volkskrankheit und Prävention;https://www.klinikum-hochsauerland.de/unternehmen/aktuelles/aktuell/volkskrankheit-osteoporose-wie-man-sie-erkennt-und-was-dagegen-hilft
2026-05-19;malteser.de;Malteser „Plaudernetz“ kooperiert mit Caritas-Konferenzen Deutschlands e.V.;Kooperation;Neue Partnerschaft zwischen zwei großen Wohltätigkeitsorganisationen;https://www.malteser.de/newsdetails/news/ebola-ausbruch-malteser-bereiten-erste-massnahmen-im-kongo-vor.html
2026-05-19;st-josef-in-uebach.de;Unser Café hat wieder geöffnet!;Neues Angebot;Eröffnung des Cafés ist ein neues Angebot für Bewohner und Besucher.;https://www.st-josef-in-uebach.de/aktuelles/beitrag-lesen/unser-cafe-hat-wieder-geoeffnet.html
2026-05-18;altenheim-wahlscheid.de;Versteigerung ist gestartet;Aktion;Versteigerung als konkretes Projekt zur Finanzierung von Infrastrukturmaßnahmen;https://www.altenheim-wahlscheid.de/2026/05/versteigerung-ist-gestartet/
2026-05-18;kolfhaus.de;Veranstaltungen im Juni;Veranstaltung;Beschreibung konkreter Aktivitäten und Ausflüge im Juni;https://www.seniorenzentrum-heinrich-kolfhaus.de/veranstaltungen-im-juni/
2026-05-18;diakonie-kreis-mettmann.de;3.-24.05.2026 – Wer hat das schönste Schaufenster? Jetzt abstimmen & gewinnen!;Aktion;Einladung zur Teilnahme an einem Wettbewerb und Gewinnspiel.;https://www.diakonie-kreis-mettmann.de/3-24-05-2026-wer-hat-das-schoenste-schaufenster-jetzt-abstimmen-gewinnen/
2026-05-18;alexianer.de;Neue Leitung unseres EndoProthetikZentrums (EPZ);Personalie;Neue Leitung eines Zentrums;https://www.alexianer.de/aktuelles/aktuell/neue-leitung-unseres-endoprothetikzentrums-epz-am-alexianer-st-gertrauden-krankenhaus-in-berlin-wilmersdorf
2026-05-18;alexianer.de;Sebastian Schmitz engagiert sich für die Petition „Teilhabe ist Menschenrecht“;Personalie;Titel deutet auf eine neue Personalie oder Engagement einer Person hin.;https://www.alexianer.de/aktuelles/aktuell/sebastian-schmitz-engagiert-sich-fuer-die-petition-teilhabe-ist-menschenrecht
2026-05-18;anna-katharinenstift.de;Tag der Begegnung 2026;Veranstaltung;Titel deutet auf eine geplante Veranstaltung hin, Text fehlt aber.;https://www.anna-katharinenstift.de/aktuelles?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=182&cHash=948aa55b586037a0223326b51b88ef32
2026-05-18;awo-kv-wesel.de;Am Mittwoch, 20.Mai, um 16.30 Uhr, findet im AWO Treff Wesel-Feldmark am Dorotheenweg 2 das nächste (intergenerationale) „Digitalcafè“ statt.;Veranstaltung;Ankündigung einer konkreten öffentlichen Veranstaltung (Digitalcafè);https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/ausflug-zum-seniorentheater-724/
2026-05-18;awo-kv-wesel.de;Am Mittwoch, 20.Mai, um 16.30 Uhr, findet im AWO Treff Wesel-Feldmark am Dorotheenweg 2 das nächste (intergenerationale) „Digitalcafè“ statt.;Veranstaltung;Ankündigung einer konkreten öffentlichen Veranstaltung (Digitalcafè);https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/neu-digitalcafe-im-awo-treff-wesel-feldmark-soll-regelmaessig-stattfinden-723/
2026-05-18;caritas-ahaus-vreden.de;Save the Date – Caritas-Wallfahrt NRW 2026;Veranstaltung;Einladung zu einer zukünftigen Wallfahrt;https://www.caritas-ahaus-vreden.de/aktuelles/news/Save-the-Date-Caritas-Wallfahrt-NRW-2026/
2026-05-18;caritas-gladbeck.de;"Lions unterstützten Caritas-Projekt ,,Mahlzeit""";Projekt;Bericht über Lions-Club-Unterstützung eines konkreten Projekts;https://www.caritas-gladbeck.de/aktuelles/pressespiegel/lions-unterstuetzten-caritas-projekt-mahlzeit-6e4f2aef-9242-4a53-9bfd-71d6c8d7bbe0
2026-05-18;caritas-olpe.de;Gemeinsam stärker: Beratende Dienste in Siegen-Wittgenstein und Olpe wachsen als Team zusammen;Personalie;Zusammenschluss von Beratungsdiensten;https://www.caritas-olpe.de/news/details/gemeinsam-staerker-beratende-dienste-in-siegen-wittgenstein-und-olpe-wachsen-als-team-zusammen
2026-05-18;malteser.de;Ebola-Ausbruch: Malteser bereiten erste Maßnahmen im Kongo vor;Aktion;Bericht über konkrete Hilfsmaßnahmen im Ausland;https://www.malteser.de/newsdetails/news/400-malteser-auf-dem-katholikentag-im-einsatz.html
2026-05-18;senioren-ramsdorf.de;Pflege-Podcast des Kreises Borken: neue Folge mit Jürgen Kaling;Medien/Projekt;Neue Folge eines lokalen Pflege-Podcasts mit Interviewpartner;https://www.senioren-ramsdorf.de/aktuelles/detail?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Bnews%5D=86&cHash=e4e334d608d63901862c9c3f409ad0a0
2026-05-16;gesob-gmbh.de;Wellness zum Muttertag;Veranstaltung;Beschreibung einer konkreten Aktion zum Muttertag im Seniorenzentrum;https://www.gesob-gmbh.de/2026/05/16/wellness-zum-muttertag/
2026-05-15;altenheime-leverkusen.de;Neues von unserer Clownin Augustina;Personalie;Vorstellung einer neuen Mitarbeiterin (Clownin) und deren Tätigkeit;https://www.es-senioreneinrichtungen.de/news/neues-von-unserer-clownin-augustina/
2026-05-15;belia.de;Arzum Yilmaz übernimmt die Kaufmännische Leitung bei Belia;Personalie;Neubesetzung einer leitenden Position;https://belia.de/news-detail/detail/arzum-yilmaz-uebernimmt-die-kaufmaennische-leitung-bei-belia
2026-05-15;evkln.de;Zertifiziertes Lungenkrebszentrum am Johanniter Krankenhaus Oberhausen;Auszeichnung;Eröffnung eines zertifizierten Zentrums;https://www.evkln.de/der-verbund/news-details/zertifiziertes-lungenkrebszentrum-am-johanniter-krankenhaus-oberhausen.html
2026-05-14;haus-st-josef-wadersloh.de;Clownsvisite bringt Freude ins Seniorenzentrum;Aktion;Beschreibung einer regelmäßigen Aktivität (Clownsvisite) zur Förderung der Bewohner.;https://haus-st-josef-wadersloh.smmp.de/2026/05/14/clownsvisite-bringt-freude-ins-seniorenzentrum/
2026-05-14;gesob-gmbh.de;Maifest in Brauck;Veranstaltung;Bericht über ein Maifest mit Bewohnerbeteiligung;https://www.gesob-gmbh.de/2026/05/14/maifest-in-brauck/
2026-05-14;st-michael-werl.de;Hochbeet neu gestaltet;Projekt;Beschreibung einer konkreten Maßnahme (Neugestaltung);https://www.st-michael-werl.de/aktuelles/aktuelles/aktuelles/news/hochbeet-neu-gestaltet-3/
2026-05-14;st-michael-werl.de;Karneval im St. Michael;Veranstaltung;Titel deutet auf eine lokale Veranstaltung (Karneval) hin, die für einen Branchen-Newsletter relevant ist.;https://www.st-michael-werl.de/aktuelles/aktuelles/aktuelles/news/karneval-im-st-michael/
2026-05-14;st-michael-werl.de;Kunterbuntes Sommerfest im Seniorencentrum St. Michael;Veranstaltung;Titel deutet auf ein konkretes Sommerfest hin.;https://www.st-michael-werl.de/aktuelles/aktuelles/aktuelles/news/kunterbuntes-sommerfest-im-seniorencentrum-st-michael/
2026-05-14;st-michael-werl.de;Unterwegs auf der Altenpflegemesse in Essen;Veranstaltung;Bericht über Teilnahme an Fachmesse;https://www.st-michael-werl.de/aktuelles/aktuelles/aktuelles/news/unterwegs-auf-der-altenpflegemesse-in-essen/
2026-05-13;laurentiusstift-coesfeld.de;Kleines Dankeschön zum Tag der Pflege;Aktion;Beitrag zum Tag der Pflege mit Dankesbotschaft und Hinweis auf die Veranstaltung;https://www.laurentiusstift-coesfeld.de/danke/
2026-05-13;kolfhaus.de;Tag der Pflege im Seniorenzentrum Heinrich Kolfhaus;Veranstaltung;Bericht über jährliche Veranstaltung 'Tag der Pflege' mit Ehrung der Mitarbeiter;https://www.seniorenzentrum-heinrich-kolfhaus.de/tag-der-pflege-im-seniorenzentrum-heinrich-kolfhaus/
2026-05-13;ravensberger-stift.de;Der Mai ist gekommen!;Veranstaltung;Bericht über ein Gemeinschaftsprojekt (Maibaumaufstellen) mit Bewohnern.;https://ravensberger-stift.de/der-mai-ist-gekommen/
2026-05-13;ravensberger-stift.de;Osterfreude im Ravensberger Stift;Veranstaltung;Bericht über eine Bewohneraktivität;https://ravensberger-stift.de/osterfreude-im-ravensberger-stift/
2026-05-13;hvghirten.de;Freiwilligentag 2026;Veranstaltung;Bericht über Teilnahme am Freiwilligentag;https://hvghirten.de/freiwilligentag-2026/
2026-05-13;ev-altenheime-agger.de;TAG DER PFLEGE;Aktion;Bezug auf eine spezifische Veranstaltung/Aktion zum Tag der Pflege;https://ev-altenheime-agger.de/2026/05/13/tag-der-pflege/
2026-05-13;alexianer.de;Alexianer eröffnen modernes Prevention Center am St. Gertrauden-Krankenhaus in Berlin-Wilmersdorf;Eröffnung;Neue Einrichtung und Projektstart;https://www.alexianer.de/aktuelles/aktuell/alexianer-eroeffnen-modernes-prevention-center-am-st-gertrauden-krankenhaus-in-berlin
2026-05-13;alexianer.de;Clemenshospital: HERA liefert bessere Bilder für die Pränatalmedizin;Projekt;Neue technische Ausstattung durch HERA für die Pränatalmedizin;https://www.alexianer.de/aktuelles/aktuell/clemenshospital-hera-liefert-bessere-bilder-fuer-die-praenatalmedizin
2026-05-13;awo-kv-wesel.de;„Im Flow auf den Beats“ – Teilnehmer*innen schrieben erste eigene Zeilen und produzierten coole Beats selbst;Veranstaltung;Bericht über eine kulturelle Aktivität und Projektteilnahme der Bewohner;https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/fruehlingsfest-im-elisabeth-selbert-haus-721/
2026-05-13;awo-kv-wesel.de;„Im Flow auf den Beats“ – Teilnehmer*innen schrieben erste eigene Zeilen und produzierten coole Beats selbst;Veranstaltung;Bericht über eine kulturelle Aktivität und Projektteilnahme der Bewohner;https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/rap-workshop-im-awo-kinder-und-jugendzentrum-zoff-722/
2026-05-13;cse.ruhr;Elternabend für neue Kindergartenfamilien;Veranstaltung;Einladung zu einem Elternabend für neue Familien;https://www.cse.ruhr/aktuell/nachricht/1283-7000-euro-fuer-teenbaby/
2026-05-13;cse.ruhr;Hühner zu Gast in der Krachmacherstraße;Veranstaltung;Titel deutet auf eine konkrete Aktion oder Veranstaltung im Heim hin.;https://www.cse.ruhr/aktuell/nachricht/1286-kindertagesstaette-loewenherz/
2026-05-13;cse.ruhr;Baustart - Turm stellte Sicherheitsrisiko dar;Umbau;Bezug auf Baustart und Sicherheitsaspekte bei Umbauarbeiten;https://www.cse.ruhr/aktuell/nachricht/1301-partizipation-im-familienzentrum-loenneberga/
2026-05-13;cse.ruhr;KinderPalliativNetzwerk berät jetzt auch digital;Neues Angebot;Einführung einer digitalen Beratungsleistung durch das Netzwerk;https://www.cse.ruhr/aktuell/nachricht/1302-hospizneubau-in-essen-gerschede/
2026-05-13;cse.ruhr;Naturtag im Familienzentrum Taka-Tuka-Land;Veranstaltung;Meldung zu einer konkreten Aktion/Veranstaltung;https://www.cse.ruhr/aktuell/nachricht/1303-kinderpalliativnetzwerk-beraet-jetzt-auch-digital/
2026-05-13;cse.ruhr;Wanderausstellung zu den Internationalen Wochen gegen Rassismus;Veranstaltung;Titel deutet auf eine kulturelle oder bildungspolitische Aktion im Heimbereich hin.;https://www.cse.ruhr/aktuell/nachricht/1304-entdeckungsreise-in-den-fruehling/
2026-05-13;cse.ruhr;Neuer Snoezelraum im Familienzentrum Hoppetosse;Eröffnung;Neue Einrichtung im Familienzentrum;https://www.cse.ruhr/aktuell/nachricht/1306-kampagnenstart-im-limbecker-platz/
2026-05-13;cse.ruhr;Neues Projekt in der Waldgruppe;Projekt;Titel deutet auf ein neues Vorhaben hin;https://www.cse.ruhr/aktuell/nachricht/1307-neuer-snoezelraum-im-familienzentrum-hoppetosse/
2026-05-13;cse.ruhr;Minimusiker live im Mattiswald;Veranstaltung;Ankündigung eines kulturellen Events (Musik);https://www.cse.ruhr/aktuell/nachricht/1310-projekt-wir-gehoeren-zusammen/
2026-05-13;cse.ruhr;Caritas Pop up-Park wandert nach Altenessen.;Veranstaltung;Neue Standortmitteilung für eine bestehende Einrichtung;https://www.cse.ruhr/aktuell/nachricht/1313-das-kann-sich-hoeren-lassen/
2026-05-13;cse.ruhr;Internationaler Tag für Frauengesundheit im Filmstudio Glückauf;Veranstaltung;Titel deutet auf eine konkrete Aktion/Veranstaltung hin, Text fehlt aber.;https://www.cse.ruhr/aktuell/nachricht/1321-neue-kooperationsvereinbarung-fuer-treffpunkt-schulzzwanzig-unterzeichnet/
2026-05-13;evkln.de;Zwei Mitarbeiterinnen des Evangelischen Krankenhauses Dinslaken gestalten mit Farbe, Humor und viel Herz Räume im Klinikverbund;Personalie;Beschreibung von Mitarbeiterinnen und deren Projekt zur Raumgestaltung;https://www.evkln.de/der-verbund/news-details/wenn-klinikflure-geschichten-erzaehlen.html
2026-05-13;klinikum-hochsauerland.de;Deutsche Gesellschaft für Kardiologie erkennt hohe Behandlungsqualität und besondere Expertise am Alexianer Klinikum Hochsauerland an;Auszeichnung;Erkennung hoher Behandlungsqualität durch Fachgesellschaft;https://www.klinikum-hochsauerland.de/unternehmen/aktuelles/aktuell/deutsche-gesellschaft-fuer-kardiologie-erkennt-hohe-behandlungsqualitaet-und-besondere-expertise-am-alexianer-klinikum-hochsauerland-an
2026-05-13;raphaelsklinik.de;Clemenshospital: HERA liefert bessere Bilder für die Pränatalmedizin;Projekt;Neue technische Ausstattung durch HERA für die Pränatalmedizin;https://www.raphaelsklinik.de/unternehmen/aktuelles/aktuell/clemenshospital-hera-liefert-bessere-bilder-fuer-die-praenatalmedizin
2026-05-13;seniorenwohnen-im-park.de;Angehörigentreffen zum Thema Demenz;Veranstaltung;Ankündigung eines Angehörigentreffens zum Thema Demenz;https://www.seniorenwohnen-im-park.de/aktuelles/aktuelles-detail/65
2026-05-12;diakonie-bethanien.de;Pflege braucht Verlässlichkeit, keine Sparrunden: Matthias Ruf warnt vor den Folgen der geplanten Kürzungen in der Pflegefinanzierung;Positionierung;Offizieller Kommentar des Leiters zu aktuellen politischen Reformen und Finanzierungsfragen.;https://www.diakonie-bethanien.de/pflege-braucht-verlaesslichkeit-keine-sparrunden-matthias-ruf-warnt-vor-den-folgen-der-geplanten-kuerzungen-in-der-pflegefinanzierung/
2026-05-12;seniorenzentrum-halver.de;Pflege braucht Verlässlichkeit, keine Sparrunden: Matthias Ruf warnt vor den Folgen der geplanten Kürzungen in der Pflegefinanzierung;Positionierung;Offizieller Kommentar des Leiters zu aktuellen politischen Reformen und Finanzierungsfragen.;https://www.diakonie-bethanien.de/pflege-braucht-verlaesslichkeit-keine-sparrunden-matthias-ruf-warnt-vor-den-folgen-der-geplanten-kuerzungen-in-der-pflegefinanzierung/
2026-05-12;haus-st-josef-wadersloh.de;Jugendliche besuchen Seniorenzentrum zur Firmvorbereitung;Veranstaltung;Beschreibung eines Besuchs von Jugendlichen im Seniorenzentrum im Rahmen der Firmungsvorbereitung.;https://haus-st-josef-wadersloh.smmp.de/2026/05/12/jugendliche-besuchen-seniorenzentrum-zur-firmvorbereitung/
2026-05-12;hvghirten.de;Besuch von Weihbischof Zekorn beim Mittagstisch;Veranstaltung;Bericht über Besuch von Weihbischof Zekorn beim Mittagstisch;https://hvghirten.de/besuch-von-weihbischof-zekorn-beim-mittagstisch/
2026-05-12;aiutanda-westfalen.de;Ehepartner wird zum Pflegefall: Gemeinsam alt werden;Bericht;Artikel über spezifische Situation und Beratungsthema im Pflegebereich;https://aiutanda.de/de/artikel-beitraege/ehepartner-wird-zum-pflegefall/
2026-05-12;gesob-gmbh.de;Tanz in den Mai;Veranstaltung;Bericht über eine konkrete Aktion (Tanz in den Mai);https://www.gesob-gmbh.de/2026/05/12/tanz-in-den-mai/
2026-05-12;luehlerheim.de;Pädagogische Fachkraft (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://luehlerheim.de/stellenanzeigen/paedagogische-fachkraft-m-w-d/
2026-05-12;antoniushaus-lh.de;Kommunionfeier trifft Gospelchor;Veranstaltung;Bericht über eine spezifische Hausveranstaltung mit musikalischer Begleitung.;https://antoniushaus-lh.de/2026/05/12/kommunionfeier-trifft-gospelchor/
2026-05-12;franziskus-kleve.de;Tag der Pflege im Regina Pacis Haus Kevelaer;Veranstaltung;Bezug auf den internationalen Tag der Pflege und Dankesaktion für Mitarbeiter;https://franziskus-kleve.de/regina-pacis/tag-der-pflege-im-regina-pacis-haus-kevelaer/
2026-05-12;awo-kv-wesel.de;Vor kurzem fand das diesjährige Frühlingsfest im AWO Elisabeth-Selbert-Haus statt.;Veranstaltung;Bericht über ein durchgeführtes Fest;https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/das-awo-familienzentrum-kirchenkampstrasse-uebernimmt-spielplatzpatenschaft-719/
2026-05-12;belia.de;Belia – Ihr Urlaubspflegespezialist: Kurzzeitpflege mit Hotelfeeling;neues Angebot;Präsentation eines neuen Dienstleistungsangebots (Kurzzeitpflege mit Hotelfeeling);https://belia.de/news-detail/detail/belia-ihr-urlaubspflegespezialist-kurzzeitpflege-mit-hotelfeeling
2026-05-12;belia.de;Gemeinsam Erinnerungen teilen – Muttertagsbrunch mit unseren Bewohnerinnen;Veranstaltung;Muttertagsbrunch als spezifische Bewohnerveranstaltung;https://belia.de/news-detail/detail/gemeinsam-erinnerungen-teilen-muttertagsbrunch-mit-unseren-bewohnerinnen
2026-05-12;caritas-hamm.de;Mehr als 470 Caritas-Mitarbeitende feiern im CreativRevier Heinrich Robert;Veranstaltung;Beschreibung einer konkreten Feierveranstaltung mit Mitarbeiterzahl;https://www.caritas-hamm.de/aktuelles/presse/mehr-als-470-caritas-mitarbeitende-feiern-im-creativrevier-heinrich-robert-0ab73f23-cec9-4efc-9ed0-c
2026-05-12;caritas-olpe.de;Neue Kurberatungsstelle in Siegen: Caritas erleichtert Wege zu mehr Gesundheit und Wohlbefinden;Neues Angebot;Eröffnung einer neuen Beratungsstelle durch den Träger;https://www.caritas-olpe.de/news/details/neue-kurberatungsstelle-in-siegen-caritas-erleichtert-wege-zu-mehr-gesundheit-und-wohlbefinden
2026-05-12;caritasverband-dueren.de;Befähigungskurs zur ehrenamtlichen Hospizbegleitung ist gestartet!;Ausbildung;Start eines neuen Kurses für Ehrenamtliche;https://www.caritasverband-dueren.de/pressemitteilungen/befaehigungskurs-zur-ehrenamtlichen-hospizbegleitu/3291242/
2026-05-12;evkln.de;Kabelloser Herzschrittmacher erstmals im Herzzentrum Duisburg eingesetzt;Neues Angebot;Erstmaliger Einsatz einer medizinischen Innovation im Herzzentrum;https://www.evkln.de/der-verbund/news-details/kabelloser-herzschrittmacher-erstmals-im-herzzentrum-duisburg-eingesetzt.html
2026-05-11;kkimk.de;Buchspende für die Kleinsten;Aktion;Bericht über eine konkrete Buchspende an ein Krankenhaus.;https://kkimk.de/blog/2026/05/11/buchspende-fuer-die-kleinsten/
2026-05-11;clarastift-lh.de;Muttertag im Marien-Stift Havixbeck;Personalie;Innere Meldung über Wertschätzung und Aufmerksamkeit für Mitarbeiterinnen.;https://heilig-geist-stiftung.de/muttertag-im-marien-stift-havixbeck/
2026-05-11;heilig-geist-stiftung.de;Muttertag im Marien-Stift Havixbeck;Personalie;Innere Meldung über Wertschätzung und Aufmerksamkeit für Mitarbeiterinnen.;https://heilig-geist-stiftung.de/muttertag-im-marien-stift-havixbeck/
2026-05-11;marienstift-havixbeck.de;Muttertag im Marien-Stift Havixbeck;Personalie;Innere Meldung über Wertschätzung und Aufmerksamkeit für Mitarbeiterinnen.;https://heilig-geist-stiftung.de/muttertag-im-marien-stift-havixbeck/
2026-05-11;awo-kv-wesel.de;Das Vereinsgelände des Vereins VielGood e.V. am Strandhaus Ahr erneut Schauplatz der Wikingerkultur;Veranstaltung;Titel deutet auf eine kulturelle Veranstaltung (Wikingerkultur) am Vereinsgelände hin.;https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/bunter-nachmittag-und-vortrag-ueber-kuenstliche-intelligenz-717/
2026-05-11;awo-kv-wesel.de;Das Vereinsgelände des Vereins VielGood e.V. am Strandhaus Ahr erneut Schauplatz der Wikingerkultur;Veranstaltung;Titel deutet auf eine kulturelle Veranstaltung (Wikingerkultur) am Vereinsgelände hin.;https://www.awo-kv-wesel.de/ueber-die-awo/aktuelles/oeffentlichkeitsarbeit/aktuelles/nachricht/die-wikinger-zurueck-am-niederrhein-720/
2026-05-11;evkln.de;Förderverein und Sparkassen-Bürgerstiftung unterstützen Palliativstation im Evangelischen Krankenhaus Dinslaken;Projekt;Finanzierung und Unterstützung einer spezifischen Station;https://www.evkln.de/der-verbund/news-details/foerderverein-und-sparkassen-buergerstiftung-unterstuetzen-palliativstation-im-evangelischen-krankenhaus-dinslaken.html
2026-05-11;klinikum-hochsauerland.de;Neheimerin Lioba Cloer für starkes ehrenamtliches Engagement im Alexianer St. Johannes Pflegezentrum geehrt;Auszeichnung;Ehrung einer Mitarbeiterin für ehrenamtliches Engagement;https://www.klinikum-hochsauerland.de/unternehmen/aktuelles/aktuell/neheimerin-lioba-cloer-fuer-starkes-ehrenamtliches-engagement-im-alexianer-st-johannes-pflegezentrum-geehrt
2026-05-11;stiftler.de;Stiftler-Team beim AOK-Firmenlauf in Bad Salzuflen 🏃‍♀️🏃‍♂️;Veranstaltung;Bericht über Teilnahme des Teams an einem Firmenlauf;https://www.stiftler.de/stiftler-team-beim-aok-firmenlauf-in-bad-salzuflen-%f0%9f%8f%83%e2%99%80%ef%b8%8f%f0%9f%8f%83%e2%99%82%ef%b8%8f/
2026-05-10;haus-st-josef-wadersloh.de;CareTable begeistert Bewohner und Betreuungskräfte gleichermaßen;Projekt;Erfahrungsbericht zur Einführung eines digitalen Betreuungstools;https://haus-st-josef-wadersloh.smmp.de/2026/05/10/caretable-begeistert-bewohner-und-betreuungskraefte-gleichermassen/
2026-05-09;franziskus-kleve.de;Gemeinsam unterwegs: Domwallfahrt des St. Elisabeth-Hauses Xanten;Veranstaltung;Bericht über eine traditionelle Domwallfahrt mit Bewohnern;https://franziskus-kleve.de/st-elisabeth-haus/gemeinsam-unterwegs-domwallfahrt-des-st-elisabeth-hauses-xanten/
2026-05-09;diakonie-mark-ruhr.de;Letzte Hilfe Kurs: Wertvolle Tipps zur Sterbebegleitung und Vorsorge;Ausbildung;Ankündigung eines neuen Angebots/Kurses;https://www.diakonie-mark-ruhr.de/aktuelles?tx_ttnews%5Btt_news%5D=3635&cHash=fc76bf8842784feb4e88390cc2faa018
2026-05-09;diakonie-mark-ruhr.de;Tag der offenen Tür im Altenzentrum St. Jakobus in Breckerfeld;Veranstaltung;Ankündigung eines konkreten Events (Tag der offenen Tür);https://www.diakonie-mark-ruhr.de/aktuelles?tx_ttnews%5Btt_news%5D=3698&cHash=f617b1ec429cecedd11485852560b035
2026-05-09;haus-hoern.de;Garagenflohmarkt am 9. Mai 2026;Veranstaltung;Konkrete Ankündigung eines Flohmarkts mit Datum;https://www.haus-hoern.de/2026/04/14/garagenflohmarkt-am-09-mai-2026/
2026-05-08;laurentiusstift-coesfeld.de;Maifeste im St. Laurentius-Stift;Veranstaltung;Bericht über ein konkretes Event (Maifeste) mit Bildmaterial.;https://www.laurentiusstift-coesfeld.de/maifeste-im-st-laurentius-stift/
